"Project:","Unnamed Project"
"User:"," "
"Data item:","AvgNumInQ"
"Run date:",07/24/2006
"Options:",YDT   ,3

Time,Observation
0,0
0.85154469428815,1
0.88984738324623,0
0.97643715751677,1
1.7682114180698,2
2.8885867189795,1
3.6877430332471,2
3.8288416480388,3
4.178475590049,2
5.5455811427797,3
5.6666695142028,4
6.2976068056149,5
6.3503784904822,4
6.5969247677006,3
6.7430463991311,2
6.8827876081366,1
7.066882540655,2
9.126200639553,3
9.4398132096537,2
11.317188403648,3
13.157498133671,4
13.595905181205,3
14.52079059636,4
14.5505485956,3
14.802955579981,4
14.821044937435,5
14.982981877349,4
15.080482190742,5
15.612254748134,6
16.024822826123,5
16.776372229265,4
16.896226075749,5
16.900594986856,4
17.901376554015,3
18.000310914326,2
18.819443551776,3
20.409191570682,4
20.579240487824,3
20.996928961032,2
21.28874121649,1
21.35056879302,0
21.514480982369,1
21.620901493196,0
24.954787193659,1
25.149219454324,0
27.596807866069,1
28.152647602412,0
31.609286332752,1
31.950273943893,0
32.620978452897,1
33.559002364773,0
40.948580244393,1
41.774204448291,2
42.670764274984,3
42.76110908162,2
42.883623232492,1
43.71093730975,0
48.944882240007,1
49.036570421277,0
49.444500415745,1
49.687627129135,2
50.519168997124,3
50.835724886999,2
51.058929981985,1
51.357857467177,0
53.104969268039,1
54.797412976468,2
55.728921784592,3
56.814220270467,4
56.824364537706,5
57.400627692454,4
57.46773475223,3
57.695401351826,2
57.828850255445,1
58.472102180018,0
63.952462578485,1
63.955563590949,2
64.311377357512,3
64.527235778613,2
64.769386036706,3
64.94018531787,2
65.217295233929,1
65.953698541694,2
66.233067204084,1
66.602396688229,2
66.615959379227,1
66.735124349243,2
67.236972656604,3
67.851841661225,4
68.870137396488,5
69.82072854607,4
70.82970555277,5
71.373090064419,6
71.535909524122,5
71.834896434106,6
72.788611068776,5
73.217450607245,4
73.374688211812,3
73.933856365453,2
74.102884629598,1
74.749048726976,2
76.023248254164,1
76.032056595726,0
76.270590936528,1
76.96363002339,0
82.69917906273,1
83.263571560872,2
83.56548348155,1
83.577337488601,2
84.206123197823,3
84.667441647765,2
85.182454078603,3
85.308552416115,4
85.421007406332,5
85.911645155102,4
86.309759743219,5
86.533299555523,6
86.740278398104,7
86.887174074231,6
87.040019737229,5
87.244829425492,6
87.35263071663,5
87.42810693684,4
87.504571365133,5
88.061869644614,6
88.262420642042,7
88.613127106873,8
88.664021532024,9
89.165669816039,8
89.884017289251,7
90.371843199021,6
90.596798836678,5
90.783241180426,6
90.837681485033,7
91.103777434665,8
91.760856538234,7
92.804974681215,8
93.08755787797,7
94.016243345841,6
96.258931404969,7
96.916667149592,8
97.428955337945,9
98.285163702529,8
98.813403737728,7
99.139124111232,6
99.208553711806,5
99.30741150719,6
99.60164517085,5
99.84942156666,6
100.55650492113,5
101.20514961539,4
102.61393811892,3
102.70189291059,2
103.19860115957,1
104.43592884806,2
104.62417918543,3
105.11388187755,2
105.29857886552,1
105.54301407307,2
105.83653365106,3
105.84258864917,2
106.05549668493,1
106.06246618382,0
106.26257152148,1
106.48271614872,2
107.48568542233,1
107.71148764462,0
111.09167948805,1
111.22033326622,0
122.27548885412,1
122.534668409,0
123.2675456855,1
123.4370845667,0
124.80963190525,1
125.55453139227,0
125.8529578627,1
126.12499740915,0
127.68365084256,1
